HPO_term	GO_term	Co-occurrence_similarity_(S)
HP:0000003	GO:0060271	0.2824
HP:0000006	GO:0005515	0.5850
HP:0000006	GO:0005634	0.3714
HP:0000006	GO:0005654	0.2804
HP:0000006	GO:0005737	0.3510
HP:0000006	GO:0005829	0.3008
HP:0000006	GO:0005886	0.3683
HP:0000006	GO:0005887	0.2129
HP:0000006	GO:0016020	0.2076
HP:0000006	GO:0070062	0.2929
HP:0000007	GO:0005515	0.5734
HP:0000007	GO:0005634	0.2845
HP:0000007	GO:0005654	0.2163
HP:0000007	GO:0005737	0.3392
HP:0000007	GO:0005829	0.3111
HP:0000007	GO:0005886	0.3309
HP:0000007	GO:0016020	0.2172
HP:0000007	GO:0070062	0.3355
HP:0000008	GO:0036297	0.2826
HP:0000008	GO:0043240	0.2025
HP:0000010	GO:0036297	0.2342
HP:0000012	GO:0007005	0.2642
HP:0000012	GO:0034599	0.2000
HP:0000012	GO:0043014	0.2000
HP:0000012	GO:1901215	0.2979
HP:0000015	GO:0030199	0.2632
HP:0000015	GO:0043588	0.2500
HP:0000015	GO:0048407	0.2069
HP:0000021	GO:0003091	0.2222
HP:0000022	GO:0001880	0.4444
HP:0000022	GO:0007530	0.3636
HP:0000022	GO:0007548	0.2857
HP:0000022	GO:2000020	0.3333
HP:0000025	GO:0006281	0.2195
HP:0000025	GO:0036297	0.5098
HP:0000025	GO:0043240	0.4211
HP:0000028	GO:0005515	0.2528
HP:0000028	GO:0005634	0.2386
HP:0000028	GO:0005654	0.2459
HP:0000031	GO:0001916	0.3000
HP:0000031	GO:0005143	0.2222
HP:0000031	GO:0016045	0.2222
HP:0000031	GO:0032695	0.2500
HP:0000031	GO:0032715	0.2353
HP:0000031	GO:0032729	0.3077
HP:0000031	GO:0032733	0.2000
HP:0000031	GO:0032740	0.2105
HP:0000031	GO:0034341	0.2000
HP:0000031	GO:0042520	0.2500
HP:0000031	GO:0051135	0.2500
HP:0000031	GO:0051770	0.2353
HP:0000033	GO:0007224	0.2105
HP:0000033	GO:0035869	0.4375
HP:0000033	GO:0036038	0.6000
HP:0000033	GO:0060271	0.2500
HP:0000034	GO:0000104	0.2353
HP:0000034	GO:0001944	0.3333
HP:0000034	GO:0005749	0.3333
HP:0000034	GO:0006099	0.2000
HP:0000034	GO:0006121	0.2222
HP:0000034	GO:0010975	0.2105
HP:0000034	GO:0045273	0.2500
HP:0000034	GO:0048010	0.2000
HP:0000034	GO:0048039	0.2353
HP:0000035	GO:0007601	0.2388
HP:0000036	GO:0000104	0.3077
HP:0000036	GO:0005749	0.4286
HP:0000036	GO:0006099	0.2308
HP:0000036	GO:0006121	0.2857
HP:0000036	GO:0006564	0.3077
HP:0000036	GO:0009060	0.2222
HP:0000036	GO:0010975	0.2667
HP:0000036	GO:0045273	0.3333
HP:0000036	GO:0048039	0.3077
HP:0000036	GO:2000060	0.2667
HP:0000037	GO:0007548	0.2174
HP:0000037	GO:0035869	0.2692
HP:0000037	GO:0036038	0.3600
HP:0000037	GO:0060271	0.2000
HP:0000040	GO:0005159	0.2353
HP:0000040	GO:0008286	0.2000
HP:0000040	GO:0010975	0.2500
HP:0000040	GO:0043950	0.3077
HP:0000040	GO:0045725	0.2105
HP:0000040	GO:0046326	0.2222
HP:0000041	GO:0008584	0.2273
HP:0000041	GO:2000020	0.3200
HP:0000049	GO:0000082	0.2222
HP:0000049	GO:0000083	0.2000
HP:0000049	GO:0000808	0.2500
HP:0000049	GO:0005664	0.2500
HP:0000049	GO:0006270	0.2222
HP:0000050	GO:0006493	0.3333
HP:0000050	GO:0035269	0.3243
HP:0000050	GO:0036038	0.2051
HP:0000051	GO:0003705	0.2069
HP:0000051	GO:0004879	0.2500
HP:0000051	GO:0007530	0.2222
HP:0000051	GO:0008584	0.3684
HP:0000051	GO:0021854	0.2222
HP:0000051	GO:0021983	0.2000
HP:0000051	GO:0030325	0.2000
HP:0000051	GO:0030539	0.2000
HP:0000051	GO:0030850	0.2353
HP:0000051	GO:0090575	0.2000
HP:0000051	GO:2000020	0.4211
HP:0000054	GO:0060271	0.2014
HP:0000057	GO:0005777	0.2430
HP:0000057	GO:0005778	0.2927
HP:0000057	GO:0005779	0.2059
HP:0000057	GO:0007031	0.3014
HP:0000057	GO:0016558	0.2319
HP:0000059	GO:0000082	0.2041
HP:0000059	GO:0000808	0.2143
HP:0000059	GO:0005664	0.2143
HP:0000059	GO:0008278	0.2143
HP:0000060	GO:0005109	0.2000
HP:0000060	GO:0060071	0.2609
HP:0000060	GO:0099054	0.3333
HP:0000061	GO:0007224	0.2162
HP:0000061	GO:0035869	0.4516
HP:0000061	GO:0036038	0.6207
HP:0000061	GO:0060271	0.2532
HP:0000062	GO:0036038	0.2056
HP:0000062	GO:0060271	0.2803
HP:0000063	GO:0001657	0.2105
HP:0000063	GO:0002053	0.2105
HP:0000063	GO:0003705	0.2222
HP:0000063	GO:0008406	0.2105
HP:0000063	GO:0008584	0.2778
HP:0000063	GO:0009888	0.2000
HP:0000063	GO:0030325	0.2222
HP:0000063	GO:0030916	0.2667
HP:0000063	GO:0048705	0.2000
HP:0000063	GO:0090575	0.2143
HP:0000063	GO:2000020	0.4706
HP:0000064	GO:0000076	0.3636
HP:0000064	GO:0000082	0.3125
HP:0000064	GO:0000083	0.3529
HP:0000064	GO:0000166	0.3636
HP:0000064	GO:0000808	0.5455
HP:0000064	GO:0003688	0.3333
HP:0000064	GO:0005664	0.5455
HP:0000064	GO:0006260	0.2000
HP:0000064	GO:0006270	0.4286
HP:0000065	GO:0019915	0.4000
HP:0000069	GO:0007099	0.2258
HP:0000069	GO:0035869	0.2121
HP:0000069	GO:0036038	0.2812
HP:0000071	GO:0031581	0.2105
HP:0000071	GO:0031994	0.3077
HP:0000071	GO:0035878	0.3636
HP:0000071	GO:0038132	0.3333
HP:0000071	GO:0048565	0.2000
HP:0000071	GO:0072001	0.2353
HP:0000071	GO:0097186	0.3333
HP:0000074	GO:0035097	0.2500
HP:0000074	GO:0044666	0.3333
HP:0000074	GO:0051568	0.3077
HP:0000075	GO:0060071	0.2222
HP:0000075	GO:0099054	0.2500
HP:0000076	GO:0000184	0.2203
HP:0000076	GO:0003735	0.2124
HP:0000076	GO:0006364	0.2114
HP:0000076	GO:0006412	0.2131
HP:0000076	GO:0006413	0.2167
HP:0000076	GO:0006614	0.2281
HP:0000076	GO:0019083	0.2203
HP:0000077	GO:0001103	0.2712
HP:0000077	GO:0032402	0.2105
HP:0000077	GO:0034464	0.3214
HP:0000077	GO:0060271	0.2407
HP:0000078	GO:0000184	0.2407
HP:0000078	GO:0003735	0.2330
HP:0000078	GO:0006364	0.2301
HP:0000078	GO:0006412	0.2500
HP:0000078	GO:0006413	0.2364
HP:0000078	GO:0006614	0.2500
HP:0000078	GO:0019083	0.2407
HP:0000079	GO:0000184	0.3562
HP:0000079	GO:0003735	0.3529
HP:0000079	GO:0006364	0.3333
HP:0000079	GO:0006412	0.3377
HP:0000079	GO:0006413	0.3467
HP:0000079	GO:0006614	0.3768
HP:0000079	GO:0019083	0.3562
HP:0000079	GO:0022627	0.2500
HP:0000079	GO:0035869	0.2295
HP:0000079	GO:0036038	0.3051
HP:0000081	GO:0000712	0.2222
HP:0000081	GO:0000724	0.2222
HP:0000081	GO:0006281	0.2400
HP:0000081	GO:0006289	0.2051
HP:0000081	GO:0036297	0.5909
HP:0000081	GO:0043240	0.5161
HP:0000085	GO:0000184	0.2885
HP:0000085	GO:0003735	0.2424
HP:0000085	GO:0006364	0.2569
HP:0000085	GO:0006412	0.2593
HP:0000085	GO:0006413	0.2453
HP:0000085	GO:0006614	0.2600
HP:0000085	GO:0019083	0.2500
HP:0000085	GO:0036297	0.2600
HP:0000086	GO:0000184	0.3133
HP:0000086	GO:0003735	0.3077
HP:0000086	GO:0006281	0.2364
HP:0000086	GO:0006364	0.2955
HP:0000086	GO:0006412	0.2989
HP:0000086	GO:0006413	0.3059
HP:0000086	GO:0006614	0.3291
HP:0000086	GO:0019083	0.3133
HP:0000086	GO:0022627	0.2162
HP:0000086	GO:0036297	0.3797
HP:0000086	GO:0043240	0.2424
HP:0000090	GO:0005813	0.2169
HP:0000090	GO:0005814	0.2078
HP:0000090	GO:0005929	0.3297
HP:0000090	GO:0030991	0.2308
HP:0000090	GO:0035721	0.2264
HP:0000090	GO:0035869	0.2712
HP:0000090	GO:0036038	0.3509
HP:0000090	GO:0036064	0.2410
HP:0000090	GO:0060271	0.4486
HP:0000090	GO:0097542	0.3692
HP:0000092	GO:0035869	0.2941
HP:0000092	GO:0036038	0.3125
HP:0000092	GO:0060271	0.2195
HP:0000096	GO:0003678	0.2500
HP:0000096	GO:0006744	0.2667
HP:0000096	GO:0008023	0.3333
HP:0000097	GO:0032835	0.2400
HP:0000099	GO:0004252	0.2432
HP:0000099	GO:0005602	0.2353
HP:0000099	GO:0006956	0.4286
HP:0000099	GO:0006958	0.4444
HP:0000099	GO:0030449	0.2424
HP:0000099	GO:0072562	0.2025
HP:0000099	GO:2000427	0.3158
HP:0000103	GO:0007588	0.2800
HP:0000103	GO:0032391	0.2000
HP:0000104	GO:0000184	0.2149
HP:0000104	GO:0003735	0.2069
HP:0000104	GO:0006364	0.2063
HP:0000104	GO:0006412	0.2080
HP:0000104	GO:0006413	0.2114
HP:0000104	GO:0006614	0.2222
HP:0000104	GO:0019083	0.2149
HP:0000104	GO:0036297	0.2222
HP:0000104	GO:0060271	0.2803
HP:0000105	GO:0005929	0.2192
HP:0000105	GO:0030991	0.2353
HP:0000105	GO:0035721	0.2286
HP:0000105	GO:0097542	0.3830
HP:0000107	GO:0005929	0.2099
HP:0000107	GO:0036064	0.2081
HP:0000107	GO:0060271	0.3046
HP:0000108	GO:0032391	0.2581
HP:0000108	GO:0035869	0.3636
HP:0000108	GO:0036038	0.3226
HP:0000108	GO:0060271	0.2469
HP:0000110	GO:0005929	0.2602
HP:0000110	GO:0034464	0.2069
HP:0000110	GO:0036064	0.2087
HP:0000110	GO:0060271	0.2878
HP:0000110	GO:0097542	0.2474
HP:0000113	GO:0060271	0.2840
HP:0000114	GO:0017133	0.2667
HP:0000114	GO:0022904	0.2857
HP:0000114	GO:0033539	0.2400
HP:0000117	GO:0005315	0.3333
HP:0000117	GO:0005436	0.3636
HP:0000117	GO:0005903	0.2500
HP:0000117	GO:0006817	0.4000
HP:0000117	GO:0015321	0.3636
HP:0000117	GO:0030643	0.3077
HP:0000117	GO:0055062	0.4000
HP:0000119	GO:0002193	0.2353
HP:0000119	GO:0003160	0.2353
HP:0000119	GO:0003208	0.2105
HP:0000119	GO:0003209	0.2222
HP:0000119	GO:0003214	0.2105
HP:0000119	GO:0003222	0.2727
HP:0000119	GO:0003256	0.2222
HP:0000119	GO:0003344	0.2105
HP:0000119	GO:0007221	0.2353
HP:0000119	GO:0031994	0.2000
HP:0000119	GO:0035878	0.2222
HP:0000119	GO:0035912	0.2000
HP:0000119	GO:0038132	0.2105
HP:0000119	GO:0061314	0.3000
HP:0000119	GO:0061419	0.2353
HP:0000119	GO:0090051	0.2222
HP:0000119	GO:0097186	0.2105
HP:0000121	GO:0097542	0.2432
HP:0000123	GO:0004252	0.2222
HP:0000123	GO:0005587	0.2143
HP:0000123	GO:0006956	0.3265
HP:0000123	GO:0006958	0.3529
HP:0000123	GO:2000427	0.2308
HP:0000124	GO:0005777	0.3250
HP:0000124	GO:0005778	0.4000
HP:0000124	GO:0005779	0.3415
HP:0000124	GO:0006625	0.3077
HP:0000124	GO:0007031	0.4348
HP:0000124	GO:0016558	0.3810
HP:0000124	GO:0033617	0.2000
HP:0000124	GO:0045046	0.2162
HP:0000125	GO:0006281	0.2022
HP:0000125	GO:0036297	0.4483
HP:0000125	GO:0043240	0.3556
HP:0000127	GO:0005247	0.2500
HP:0000127	GO:0006694	0.2308
HP:0000127	GO:0006700	0.3000
HP:0000127	GO:0006705	0.2105
HP:0000127	GO:0007588	0.2703
HP:0000127	GO:0015280	0.3158
HP:0000127	GO:0016125	0.2308
HP:0000127	GO:0016709	0.2000
HP:0000127	GO:0034706	0.2857
HP:0000127	GO:0044550	0.2000
HP:0000127	GO:0050699	0.2857
HP:0000127	GO:0050891	0.3000
HP:0000127	GO:0055078	0.3810
HP:0000128	GO:0005242	0.2667
HP:0000128	GO:0010107	0.2105
HP:0000128	GO:0015272	0.4000
HP:0000130	GO:0035869	0.3684
HP:0000130	GO:0036038	0.5000
HP:0000130	GO:0060271	0.2326
HP:0000131	GO:0000104	0.3333
HP:0000131	GO:0005749	0.4615
HP:0000131	GO:0006099	0.3200
HP:0000131	GO:0006121	0.3077
HP:0000131	GO:0009060	0.2353
HP:0000131	GO:0010975	0.2857
HP:0000131	GO:0045273	0.3636
HP:0000131	GO:0048039	0.3333
HP:0000132	GO:0006465	0.2222
HP:0000132	GO:0007596	0.2824
HP:0000132	GO:0007597	0.3529
HP:0000132	GO:0017187	0.2143
HP:0000132	GO:0030168	0.2414
HP:0000132	GO:0042730	0.2424
HP:0000133	GO:0006493	0.2593
HP:0000133	GO:0008584	0.2500
HP:0000133	GO:0035269	0.2449
HP:0000136	GO:0006564	0.4444
HP:0000136	GO:0042733	0.2353
HP:0000137	GO:0001103	0.4848
HP:0000137	GO:0005930	0.2000
HP:0000137	GO:0021756	0.2400
HP:0000137	GO:0021766	0.2069
HP:0000137	GO:0031514	0.2632
HP:0000137	GO:0032402	0.3871
HP:0000137	GO:0034464	0.6000
HP:0000137	GO:0036064	0.2759
HP:0000137	GO:0038108	0.2400
HP:0000137	GO:0045444	0.3000
HP:0000137	GO:0045494	0.2326
HP:0000137	GO:0046907	0.2857
HP:0000137	GO:0048854	0.2143
HP:0000137	GO:0060271	0.3171
HP:0000137	GO:0060296	0.2500
HP:0000137	GO:0061512	0.2581
HP:0000138	GO:0000104	0.2500
HP:0000138	GO:0001944	0.2353
HP:0000138	GO:0005749	0.3529
HP:0000138	GO:0006099	0.2069
HP:0000138	GO:0006121	0.2353
HP:0000138	GO:0010975	0.2222
HP:0000138	GO:0045273	0.2667
HP:0000138	GO:0046326	0.2000
HP:0000138	GO:0048039	0.2500
HP:0000139	GO:0043206	0.4000
HP:0000139	GO:0043588	0.2353
HP:0000139	GO:0048407	0.2857
HP:0000140	GO:0005577	0.2400
HP:0000140	GO:0031091	0.2222
HP:0000140	GO:0031639	0.2400
HP:0000140	GO:0034116	0.2400
HP:0000140	GO:0043623	0.2400
HP:0000140	GO:0045907	0.3077
HP:0000140	GO:0045921	0.2308
HP:0000140	GO:0051258	0.2400
HP:0000140	GO:0051592	0.2353
HP:0000140	GO:0072378	0.2609
HP:0000140	GO:0090277	0.2400
HP:0000140	GO:1900026	0.2143
HP:0000140	GO:2000352	0.2069
HP:0000141	GO:0005109	0.2353
HP:0000141	GO:0048018	0.2667
HP:0000141	GO:0071560	0.2500
HP:0000143	GO:0004920	0.2222
HP:0000147	GO:0034464	0.2143
HP:0000148	GO:0001103	0.3810
HP:0000148	GO:0021766	0.2105
HP:0000148	GO:0031514	0.2128
HP:0000148	GO:0032402	0.3000
HP:0000148	GO:0034464	0.4615
HP:0000148	GO:0036064	0.2388
HP:0000148	GO:0045444	0.2449
HP:0000148	GO:0046907	0.2162
HP:0000148	GO:0048854	0.2162
HP:0000148	GO:0060271	0.2857
HP:0000148	GO:0061512	0.2000
HP:0000150	GO:0008584	0.2273
HP:0000150	GO:2000020	0.3200
HP:0000151	GO:0000980	0.2143
HP:0000151	GO:0001164	0.2500
HP:0000151	GO:0006337	0.4211
HP:0000151	GO:0006338	0.2857
HP:0000151	GO:0016514	0.4762
HP:0000151	GO:0016922	0.2105
HP:0000151	GO:0030957	0.2000
HP:0000151	GO:0031492	0.3000
HP:0000151	GO:0043044	0.3000
HP:0000151	GO:0043923	0.2353
HP:0000151	GO:0048096	0.2353
HP:0000151	GO:0061205	0.2353
HP:0000151	GO:0071564	0.4211
HP:0000151	GO:0071565	0.4211
HP:0000151	GO:1901838	0.2222
HP:0000151	GO:1902661	0.2500
HP:0000155	GO:0001916	0.2857
HP:0000155	GO:0005143	0.2105
HP:0000155	GO:0016045	0.2105
HP:0000155	GO:0032695	0.2353
HP:0000155	GO:0032715	0.2222
HP:0000155	GO:0032729	0.2963
HP:0000155	GO:0032740	0.2000
HP:0000155	GO:0042520	0.2353
HP:0000155	GO:0051135	0.2353
HP:0000155	GO:0051770	0.2222
HP:0000157	GO:0005778	0.2292
HP:0000157	GO:0007031	0.2299
HP:0000161	GO:0097542	0.3529
HP:0000162	GO:0051216	0.2143
HP:0000163	GO:0031581	0.2593
HP:0000168	GO:0000104	0.4000
HP:0000168	GO:0005749	0.5455
HP:0000168	GO:0006099	0.2609
HP:0000168	GO:0006121	0.3636
HP:0000168	GO:0009060	0.2667
HP:0000168	GO:0010975	0.3333
HP:0000168	GO:0045273	0.4444
HP:0000168	GO:0048039	0.4000
HP:0000169	GO:0032007	0.2353
HP:0000169	GO:0033596	0.3333
HP:0000169	GO:0046627	0.2667
HP:0000169	GO:1901214	0.2500
HP:0000171	GO:0007099	0.2143
HP:0000175	GO:0005515	0.2198
HP:0000175	GO:0005634	0.2102
HP:0000175	GO:0005654	0.2586
HP:0000176	GO:0035897	0.2000
HP:0000178	GO:0004972	0.2353
HP:0000178	GO:0017146	0.2353
HP:0000178	GO:0045471	0.2000
HP:0000180	GO:0007224	0.2778
HP:0000180	GO:0034451	0.2143
HP:0000180	GO:0035869	0.4667
HP:0000180	GO:0036038	0.6429
HP:0000180	GO:0060170	0.2286
HP:0000180	GO:0060271	0.3077
HP:0000185	GO:0001054	0.5000
HP:0000185	GO:0001056	0.4444
HP:0000185	GO:0005666	0.4444
HP:0000185	GO:0005736	0.5000
HP:0000185	GO:0006361	0.3077
HP:0000185	GO:0006362	0.3333
HP:0000185	GO:0006363	0.3077
HP:0000185	GO:0045815	0.2667
HP:0000197	GO:0001054	0.6667
HP:0000197	GO:0001056	0.5714
HP:0000197	GO:0005666	0.5714
HP:0000197	GO:0005736	0.6667
HP:0000197	GO:0006361	0.3636
HP:0000197	GO:0006362	0.4000
HP:0000197	GO:0006363	0.3636
HP:0000197	GO:0045815	0.3077
HP:0000198	GO:0005007	0.5714
HP:0000198	GO:0010518	0.4444
HP:0000198	GO:0016303	0.2609
HP:0000198	GO:0017134	0.3077
HP:0000198	GO:0030282	0.3333
HP:0000198	GO:0032808	0.5714
HP:0000198	GO:0043410	0.2000
HP:0000198	GO:0060349	0.3333
HP:0000198	GO:0060595	0.6667
HP:0000201	GO:0001708	0.2222
HP:0000201	GO:0002053	0.2000
HP:0000201	GO:0005592	0.2667
HP:0000201	GO:0030020	0.2105
HP:0000201	GO:0051216	0.2609
HP:0000201	GO:0060023	0.2353
HP:0000201	GO:0090103	0.2222
HP:0000207	GO:0000776	0.2069
HP:0000207	GO:0000777	0.2857
HP:0000207	GO:0007094	0.2222
HP:0000207	GO:0031145	0.2353
HP:0000207	GO:0045879	0.2105
HP:0000207	GO:0051436	0.2667
HP:0000207	GO:0051437	0.2500
HP:0000207	GO:0060071	0.2308
HP:0000207	GO:0071173	0.2857
HP:0000207	GO:0099054	0.2667
HP:0000211	GO:0001054	0.2000
HP:0000211	GO:0003009	0.2667
HP:0000211	GO:0005736	0.2000
HP:0000211	GO:0017018	0.2000
HP:0000211	GO:0030049	0.2727
HP:0000214	GO:0001569	0.2857
HP:0000214	GO:0001937	0.2222
HP:0000214	GO:0003203	0.2222
HP:0000214	GO:0005024	0.3333
HP:0000214	GO:0010596	0.3333
HP:0000214	GO:0010862	0.2857
HP:0000214	GO:0017015	0.2500
HP:0000214	GO:0030509	0.2162
HP:0000214	GO:0030513	0.3333
HP:0000214	GO:0035912	0.3636
HP:0000214	GO:0043537	0.3333
HP:0000214	GO:0048185	0.4444
HP:0000214	GO:0050431	0.2500
HP:0000214	GO:0071773	0.3000
HP:0000214	GO:0090500	0.5000
HP:0000214	GO:2000279	0.4444
HP:0000216	GO:0006024	0.2000
HP:0000216	GO:0006027	0.2105
HP:0000216	GO:0030203	0.2667
HP:0000217	GO:0030658	0.2308
HP:0000217	GO:0032395	0.2400
HP:0000217	GO:0042613	0.2500
HP:0000217	GO:0071556	0.2000
HP:0000218	GO:0005515	0.2245
HP:0000218	GO:0005829	0.2045
HP:0000220	GO:0010165	0.2105
HP:0000220	GO:0010332	0.2105
HP:0000221	GO:0035869	0.2800
HP:0000221	GO:0036038	0.3750
HP:0000221	GO:0060271	0.2041
HP:0000224	GO:0019233	0.2857
HP:0000225	GO:0005577	0.2069
HP:0000225	GO:0007596	0.2500
HP:0000225	GO:0007597	0.2703
HP:0000225	GO:0031639	0.2069
HP:0000225	GO:0034116	0.2069
HP:0000225	GO:0042730	0.2778
HP:0000225	GO:0043623	0.2069
HP:0000225	GO:0045907	0.2000
HP:0000225	GO:0045921	0.2000
HP:0000225	GO:0050839	0.2286
HP:0000225	GO:0051258	0.2069
HP:0000225	GO:0072378	0.2222
HP:0000225	GO:0090277	0.2069
HP:0000227	GO:0001569	0.3333
HP:0000227	GO:0001937	0.2500
HP:0000227	GO:0003203	0.2500
HP:0000227	GO:0005024	0.4000
HP:0000227	GO:0010596	0.4000
HP:0000227	GO:0010862	0.3077
HP:0000227	GO:0017015	0.2857
HP:0000227	GO:0030509	0.2286
HP:0000227	GO:0030513	0.3750
HP:0000227	GO:0035912	0.4444
HP:0000227	GO:0043537	0.4000
HP:0000227	GO:0048185	0.5714
HP:0000227	GO:0050431	0.2857
HP:0000227	GO:0071773	0.3333
HP:0000227	GO:0090500	0.6667
HP:0000227	GO:2000279	0.5714
HP:0000230	GO:0002479	0.2632
HP:0000230	GO:0006801	0.2353
HP:0000230	GO:0042554	0.2500
HP:0000230	GO:0043020	0.3030
HP:0000230	GO:0045454	0.2564
HP:0000230	GO:0045730	0.2500
HP:0000230	GO:0048010	0.2273
HP:0000235	GO:0005777	0.2124
HP:0000235	GO:0005778	0.2500
HP:0000235	GO:0007031	0.2532
HP:0000235	GO:0016558	0.2133
HP:0000237	GO:0000076	0.2222
HP:0000237	GO:0000082	0.2564
HP:0000237	GO:0000083	0.2500
HP:0000237	GO:0000166	0.2222
HP:0000237	GO:0000808	0.3333
HP:0000237	GO:0003688	0.2105
HP:0000237	GO:0005664	0.3333
HP:0000237	GO:0006260	0.2979
HP:0000237	GO:0006270	0.2857
HP:0000237	GO:0007099	0.2500
HP:0000237	GO:0030071	0.2353
HP:0000237	GO:0098535	0.2105
HP:0000237	GO:0098536	0.2105
HP:0000239	GO:0005777	0.3579
HP:0000239	GO:0005778	0.4000
HP:0000239	GO:0005779	0.2500
HP:0000239	GO:0006625	0.2222
HP:0000239	GO:0007031	0.3607
HP:0000239	GO:0016558	0.2807
HP:0000242	GO:0005119	0.3333
HP:0000242	GO:0031267	0.2353
HP:0000242	GO:0045595	0.2105
HP:0000242	GO:0045879	0.3529
HP:0000242	GO:0097108	0.3636
HP:0000243	GO:0035108	0.2069
HP:0000243	GO:0097094	0.2308
HP:0000244	GO:0005007	0.2000
HP:0000244	GO:0005777	0.3750
HP:0000244	GO:0005778	0.5641
HP:0000244	GO:0005779	0.5600
HP:0000244	GO:0006625	0.5217
HP:0000244	GO:0007031	0.6667
HP:0000244	GO:0016557	0.2105
HP:0000244	GO:0016558	0.6154
HP:0000244	GO:0016560	0.2105
HP:0000244	GO:0016561	0.3000
HP:0000244	GO:0045046	0.3810
HP:0000244	GO:0060152	0.2105
HP:0000244	GO:1901094	0.2105
HP:0000246	GO:0003341	0.2804
HP:0000246	GO:0005930	0.2149
HP:0000246	GO:0036158	0.2308
HP:0000250	GO:0006027	0.3158
HP:0000252	GO:0005515	0.3082
HP:0000252	GO:0005634	0.2705
HP:0000252	GO:0005654	0.2981
HP:0000252	GO:0005737	0.2296
HP:0000252	GO:0005829	0.2224
HP:0000262	GO:0005777	0.3514
HP:0000262	GO:0005778	0.4898
HP:0000262	GO:0005779	0.4000
HP:0000262	GO:0006625	0.3636
HP:0000262	GO:0007031	0.5500
HP:0000262	GO:0016558	0.4444
HP:0000262	GO:0016561	0.2000
HP:0000262	GO:0045046	0.2581
HP:0000263	GO:0005007	0.3333
HP:0000263	GO:0008589	0.2500
HP:0000263	GO:0010518	0.2857
HP:0000263	GO:0017134	0.2222
HP:0000263	GO:0030282	0.2353
HP:0000263	GO:0042472	0.2105
HP:0000263	GO:0043425	0.2353
HP:0000263	GO:0048701	0.2105
HP:0000263	GO:0060349	0.2353
HP:0000263	GO:0097094	0.3333
HP:0000265	GO:0002331	0.6667
HP:0000265	GO:0033077	0.4000
HP:0000265	GO:0033151	0.6667
HP:0000267	GO:0005777	0.3750
HP:0000267	GO:0005778	0.5641
HP:0000267	GO:0005779	0.5600
HP:0000267	GO:0006625	0.5217
HP:0000267	GO:0007031	0.6667
HP:0000267	GO:0008022	0.2192
HP:0000267	GO:0016557	0.2105
HP:0000267	GO:0016558	0.6154
HP:0000267	GO:0016560	0.2105
HP:0000267	GO:0016561	0.3000
HP:0000267	GO:0045046	0.3810
HP:0000267	GO:0060152	0.2105
HP:0000267	GO:1901094	0.2105
HP:0000270	GO:0000184	0.2955
HP:0000270	GO:0003735	0.2892
HP:0000270	GO:0006364	0.2796
HP:0000270	GO:0006412	0.2826
HP:0000270	GO:0006413	0.2889
HP:0000270	GO:0006614	0.3095
HP:0000270	GO:0019083	0.2955
HP:0000270	GO:0022627	0.2025
HP:0000271	GO:0006370	0.2222
HP:0000274	GO:0001054	0.2222
HP:0000274	GO:0001056	0.2105
HP:0000274	GO:0005666	0.2105
HP:0000274	GO:0005736	0.2222
HP:0000274	GO:0030203	0.2222
HP:0000277	GO:0017053	0.2000
HP:0000277	GO:0030279	0.2353
HP:0000277	GO:0060349	0.2353
HP:0000289	GO:0016514	0.2857
HP:0000292	GO:0000014	0.3636
HP:0000292	GO:0000109	0.6667
HP:0000292	GO:0000110	0.5000
HP:0000292	GO:0003678	0.3077
HP:0000292	GO:0006283	0.3636
HP:0000292	GO:0006289	0.2857
HP:0000292	GO:0006293	0.2667
HP:0000292	GO:0006295	0.2667
HP:0000292	GO:0006296	0.2000
HP:0000292	GO:0008094	0.2222
HP:0000292	GO:0009411	0.2857
HP:0000292	GO:0032205	0.5714
HP:0000292	GO:0043566	0.5714
HP:0000292	GO:0070522	0.5000
HP:0000292	GO:0070911	0.2353
HP:0000293	GO:0060271	0.2338
HP:0000295	GO:0015758	0.2222
HP:0000297	GO:0031904	0.5000
HP:0000297	GO:0032588	0.2353
HP:0000308	GO:0097542	0.3390
HP:0000311	GO:0005778	0.2000
HP:0000316	GO:0005515	0.2501
HP:0000316	GO:0005634	0.2037
HP:0000316	GO:0005654	0.2142
HP:0000316	GO:0005829	0.2200
HP:0000324	GO:0036297	0.2479
HP:0000340	GO:0005813	0.2242
HP:0000340	GO:0036297	0.2581
HP:0000341	GO:0060271	0.2034
HP:0000347	GO:0005515	0.2764
HP:0000347	GO:0005634	0.2299
HP:0000347	GO:0005654	0.2565
HP:0000347	GO:0005737	0.2278
HP:0000347	GO:0005829	0.2149
HP:0000356	GO:0001054	0.2500
HP:0000356	GO:0001056	0.2353
HP:0000356	GO:0005666	0.2353
HP:0000356	GO:0005736	0.2500
HP:0000356	GO:0006362	0.2000
HP:0000359	GO:0042472	0.2667
HP:0000360	GO:0007605	0.3158
HP:0000361	GO:0000104	0.5000
HP:0000361	GO:0005749	0.6154
HP:0000361	GO:0006099	0.4000
HP:0000361	GO:0006121	0.6154
HP:0000361	GO:0008177	0.3636
HP:0000361	GO:0009060	0.2353
HP:0000361	GO:0022904	0.2353
HP:0000361	GO:0045273	0.3636
HP:0000361	GO:0048039	0.3333
HP:0000362	GO:0001568	0.2105
HP:0000362	GO:0003755	0.3077
HP:0000362	GO:0005584	0.3333
